idx	label	R	G	B	A	type
162	Region_162	0	161	225	0	cortical
163	Region_163	0	160	226	0	cortical
164	Region_164	0	159	227	0	cortical
165	Region_165	0	158	228	0	cortical
166	Region_166	0	157	229	0	cortical
167	Region_167	0	156	230	0	cortical
168	Region_168	0	155	231	0	cortical
169	Region_169	0	154	232	0	cortical
170	Region_170	0	154	233	0	cortical
171	Region_171	0	153	234	0	cortical
172	Region_172	0	151	235	0	cortical
173	Region_173	19	150	236	0	cortical
174	Region_174	39	149	236	0	cortical
175	Region_175	52	148	237	0	cortical
176	Region_176	63	147	238	0	cortical
177	Region_177	72	146	238	0	cortical
178	Region_178	80	145	239	0	cortical
179	Region_179	87	144	239	0	cortical
180	Region_180	93	143	240	0	cortical
181	Region_181	99	141	240	0	cortical
182	Region_182	105	140	240	0	cortical
183	Region_183	110	139	241	0	cortical
184	Region_184	116	138	241	0	cortical
185	Region_185	120	137	241	0	cortical
186	Region_186	125	135	241	0	cortical
187	Region_187	130	134	241	0	cortical
188	Region_188	134	133	241	0	cortical
189	Region_189	138	131	241	0	cortical
190	Region_190	142	130	241	0	cortical
191	Region_191	146	129	241	0	cortical
192	Region_192	150	128	241	0	cortical
193	Region_193	154	126	240	0	cortical
194	Region_194	157	125	240	0	cortical
195	Region_195	160	124	240	0	cortical
196	Region_196	164	122	239	0	cortical
197	Region_197	167	121	239	0	cortical
198	Region_198	170	120	238	0	cortical
199	Region_199	173	118	238	0	cortical
200	Region_200	176	117	237	0	cortical
201	Region_201	179	116	236	0	cortical
202	Region_202	182	115	236	0	cortical
203	Region_203	184	113	235	0	cortical
204	Region_204	187	112	234	0	cortical
205	Region_205	189	111	233	0	cortical
206	Region_206	192	110	232	0	cortical
207	Region_207	194	109	231	0	cortical
208	Region_208	196	108	230	0	cortical
209	Region_209	198	106	229	0	cortical
210	Region_210	201	105	228	0	cortical
211	Region_211	203	104	227	0	cortical
212	Region_212	205	103	226	0	cortical
213	Region_213	206	102	224	0	cortical
214	Region_214	208	101	223	0	cortical
215	Region_215	210	100	222	0	cortical
216	Region_216	212	99	220	0	cortical
217	Region_217	213	98	219	0	cortical
218	Region_218	215	98	218	0	cortical
219	Region_219	216	97	216	0	cortical
220	Region_220	218	96	215	0	cortical
221	Region_221	219	95	213	0	cortical
222	Region_222	220	95	211	0	cortical
223	Region_223	222	94	210	0	cortical
224	Region_224	223	94	208	0	cortical
225	Region_225	224	93	206	0	cortical
226	Region_226	225	93	204	0	cortical
227	Region_227	226	92	203	0	cortical
228	Region_228	227	92	201	0	cortical
229	Region_229	228	91	199	0	cortical
230	Region_230	228	91	197	0	cortical
231	Left_Region_231	229	91	195	0	subcortical
232	Region_232	230	91	193	0	cortical
233	Region_233	231	91	191	0	cortical
234	Region_234	231	91	189	0	cortical
235	Region_235	232	91	187	0	cortical
236	Left_Region_236	232	91	185	0	cerebellar
237	Left_Region_237	233	91	183	0	cerebellar
238	Left_Region_238	233	91	181	0	cerebellar
239	Left_Region_239	234	91	179	0	cerebellar
240	Left_Region_240	234	91	177	0	cerebellar
241	Left_Region_241	234	91	174	0	cerebellar
242	Left_Region_242	234	92	172	0	cerebellar
243	Left_Region_243	235	92	170	0	cerebellar
244	Region_244	235	92	168	0	cortical
245	Left_Region_245	235	93	165	0	cerebellar
246	Left_Region_246	235	93	163	0	cerebellar
247	Left_Region_247	235	94	161	0	cerebellar
248	Region_248	235	94	158	0	cortical
249	Left_Region_249	235	95	156	0	cerebellar
250	Left_Region_250	235	95	153	0	cerebellar
251	Left_Region_251	235	96	151	0	cerebellar
252	Left_Region_252	234	96	148	0	cerebellar
